https://airtable.com/shrRchh3YSDkxckdP/tblMeTyZYHSKHnGAi,65,Screenshot saved
https://www.nordicproptechawards.com/nominees-2023,66,Screenshot saved
https://www.realcomm.com/marketplace/,67,Screenshot saved
https://www.linkedin.com/posts/relevation_rel22-conf-prog-activity-6943504989713522689-TxaL?utm_source=linkedin_share&utm_medium=member_desktop_web,68,Screenshot saved
https://blog.mipimworld.com/innovation/list-of-proptech-firms-groups-and-people-you-should-know/,69,Screenshot saved
https://www.cemexventures.com/top-50/,70,Screenshot saved
https://www.linkedin.com/posts/idrissgoossens_urbantech-activity-6920666490748706816-Zeuo?utm_source=linkedin_share&utm_medium=ios_app,71,Screenshot saved
https://swissproptech.ch/swissproptechday2021#rec278524251,72,Screenshot saved
https://www.proptechsweden.org/proptechmap,73,Screenshot saved
https://www.linkedin.com/posts/michael-beckerman_realestatetechnology-startups-activity-6849040316729724929-HoOZ,74,Screenshot saved
http://www.realestatetech.co/,75,Screenshot saved
https://beststartup.asia/59-top-singapore-property-management-companies-and-startups/,76,Screenshot saved
https://www.proptechdk.dk/proptech-insights/npa2021-nominee-announcement,77,Screenshot saved
https://www.axeleo.com/axeleos-mapping-2021-european-proptech-startups/,80,Screenshot saved
https://www.seoulz.com/proptech-startups-in-korea-digitizing-the-real-estate-industry/,81,Screenshot saved
https://medium.com/navitas-capital/the-emergence-of-embedded-proptech-278420567f92,82,Screenshot saved
https://www.axc.vc/blog-posts/our-proptech-contech-mapping-2022-is-now-live,83,Screenshot saved
https://www.linkedin.com/posts/activity-6954754658569465856-QRrQ?utm_source=linkedin_share&utm_medium=member_desktop_web,84,Screenshot saved
https://www.openvc.app/search?s=proptech,86,Screenshot saved
https://www.linkedin.com/posts/jeanperlaza_el-ecosistema-proptech-en-colombia-genera-activity-6923341878054535168-xy23?utm_source=linkedin_share&utm_medium=ios_app,87,Screenshot saved
https://www.linkedin.com/posts/hernaes_the-construction-tech-scene-in-norway-is-activity-7001062498674069504-oXNj?utm_source=share&utm_medium=member_desktop,88,Screenshot saved
https://www.wealthmanagement.com/office-cre-study/2018-top-office-owners?full=1,89,Screenshot saved
https://finledger.com/2022/02/10/introducing-the-10-global-proptechs-in-pi-labs-2022-accelerator-program/,90,Screenshot saved
https://www.linkedin.com/posts/grantallen_schneider-electric-backed-venture-firm-to-activity-6999032435472551936-wv6y?utm_source=share&utm_medium=member_desktop,91,Screenshot saved
https://bridgit.tech/2021/10/bridgit-tech-have-been-nominated-for-nordic-proptech-awards-2021/,92,Screenshot saved
https://www.reapit.com/foundations/partners/,93,Screenshot saved
https://www.linkedin.com/posts/esaratsis_building-financial-environmental-ugcPost-6914980988133539840-24C9?utm_source=linkedin_share&utm_medium=ios_app,94,Screenshot saved
https://www.linkedin.com/pulse/800-growth-israeli-contech-proptech-ecosystem-zachi-flatto/,95,Screenshot saved
https://www.linkedin.com/pulse/how-think-fintech-nigeria-olabinjo-adeniran/?trackingId=l8DjwQMkQIyYgpWnjyMiHw%3D%3D,96,Screenshot saved
https://www.realcomm.com/realcomm-2022/program/speakers/,97,Screenshot saved
